id,tags_hack_and_slash,tags_anime,tags_split_screen,tags_replay_value,tags_horror,tags_tactical,tags_thriller,release_date_month,tags_top-down_shooter,tags_multiplayer,genres_action,tags_3d_vision,tags_retro,tags_rpgmaker,categories_steamvr_collectibles,tags_games_workshop,categories_remote_play_on_tablet,tags_shooter,categories_steam_achievements,tags_visual_novel,tags_mechs,tags_villain_protagonist,tags_zombies,tags_physics,tags_linear,tags_cute,tags_top-down,tags_character_customization,purchase_date_month,tags_demons,categories_shared/split_screen,genres_strategy,tags_philisophical,tags_rpg,tags_management,tags_moba,purchase_date_timestamp,genres_violent,tags_hand-drawn,genres_indie,genres_massively_multiplayer,tags_controller,tags_historical,tags_magic,tags_shoot_'em_up,tags_choices_matter,tags_short,categories_stats,categories_includes_level_editor,tags_psychedelic,tags_level_editor,tags_crpg,tags_dark,tags_walking_simulator,tags_survival_horror,tags_arena_shooter,tags_platformer,tags_fantasy,categories_full_controller_support,tags_dark_humor,tags_futuristic,tags_gore,tags_warhammer_40k,tags_difficult,tags_family_friendly,categories_multi-player,tags_destruction,tags_turn-based_tactics,tags_benchmark,tags_3d_platformer,tags_drama,tags_building,tags_dark_fantasy,tags_turn-based,tags_1990's,purchase_date_year,tags_action,tags_world_war_ii,genres_nudity,tags_online_co-op,categories_online_multi-player,tags_mouse_only,tags_side_scroller,tags_lovecraftian,categories_steam_leaderboards,tags_political,categories_remote_play_on_phone,tags_beat_'em_up,tags_competitive,tags_memes,tags_mod,tags_first-person,tags_local_multiplayer,tags_open_world,categories_cross-platform_multiplayer,tags_blood,tags_puzzle-platformer,tags_rogue-like,tags_female_protagonist,tags_robots,tags_time_travel,tags_politics,price,tags_realistic,tags_third_person,tags_turn-based_combat,categories_single-player,tags_masterpiece,tags_grand_strategy,tags_post-apocalyptic,tags_sci-fi,tags_colorful,tags_violent,genres_simulation,tags_hunting,tags_aliens,categories_co-op,tags_experimental,tags_space,tags_western,tags_stealth,tags_massively_multiplayer,tags_fmv,tags_cinematic,tags_4x,tags_exploration,tags_local_co-op,tags_minimalist,tags_real-time_with_pause,tags_psychological,categories_mmo,tags_parody,genres_casual,tags_alternate_history,tags_detective,tags_medieval,tags_romance,tags_story_rich,tags_esports,categories_includes_source_sdk,tags_survival,tags_mature,tags_dragons,tags_emotional,tags_resource_management,tags_turn-based_strategy,tags_sandbox,tags_4_player_local,tags_crowdfunded,tags_great_soundtrack,release_date_timestamp,tags_bullet_time,categories_remote_play_on_tv,categories_online_co-op,tags_dynamic_narration,tags_based_on_a_novel,tags_adventure,genres_sports,tags_submarine,tags_trading,tags_loot,tags_supernatural,tags_cult_classic,tags_casual,tags_cyberpunk,tags_mythology,tags_procedural_generation,total_positive_reviews,categories_steam_workshop,tags_heist,tags_team-based,tags_hex_grid,tags_cartoony,categories_local_multi-player,tags_driving,tags_atmospheric,tags_steampunk,tags_parkour,tags_assassin,release_date_day,tags_rts,tags_illuminati,tags_underwater,tags_remake,tags_pixel_graphics,tags_beautiful,tags_fighting,tags_hacking,tags_noir,tags_war,tags_nonlinear,tags_crime,genres_free_to_play,tags_action_rpg,tags_space_sim,tags_narration,tags_stylized,tags_silent_protagonist,purchase_date_day,categories_captions_available,categories_commentary_available,tags_nudity,tags_pvp,tags_moddable,tags_action-adventure,tags_dating_sim,tags_sports,tags_minigames,tags_real-time,date_diff,genres_adventure,tags_relaxing,tags_epic,tags_fast-paced,tags_rogue-lite,tags_psychological_horror,categories_vr_support,tags_fps,categories_local_co-op,tags_science,genres_rpg,tags_comedy,tags_isometric,tags_ninja,tags_education,tags_inventory_management,categories_steam_cloud,tags_simulation,categories_steam_trading_cards,tags_third-person_shooter,tags_2d,tags_diplomacy,tags_indie,tags_base_building,tags_city_builder,genres_early_access,categories_in-app_purchases,tags_world_war_i,tags_arcade,tags_superhero,tags_classic,tags_rhythm,tags_strategy,tags_surreal,is_free,categories_partial_controller_support,tags_co-op,genres_gore,tags_1980s,tags_crafting,tags_time_manipulation,tags_funny,tags_party-based_rpg,tags_early_access,tags_puzzle,release_date_year,tags_kickstarter,tags_real_time_tactics,tags_episodic,tags_jrpg,tags_dungeon_crawler,tags_point_&_click,tags_vr,tags_free_to_play,tags_old_school,tags_interactive_fiction,total_negative_reviews,tags_dystopian,tags_military,tags_dinosaurs,tags_mystery,tags_music,tags_sexual_content,tags_nature,tags_america,tags_2.5d,tags_singleplayer,tags_economy
30,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1487808000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1360886400.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8.338544879988579,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,1469,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2013,0,0,0,0,0,0,0,0,0,0,5.940171252720432,0,0,0,0,0,0,0,0,0,1,0
31,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,0,0,0,1,0,0,1478304000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6800,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1320883200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.911923036915361,1,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1822,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,0,0,0,0,9.15556734612889,0,0,0,0,0,0,0,0,0,1,0
32,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1514332800.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7800,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495670400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.802618063442671,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2017,0,0,0,0,0,0,1,0,0,0,5.627621113690637,0,0,0,0,0,0,0,0,0,1,0
33,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1513900800.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1459814400.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6.633318433280377,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,626,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2016,1,0,1,0,0,0,1,0,0,0,5.0369526024136295,0,0,0,0,0,0,0,0,0,1,0
34,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,1,0,0,1478217600.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5900,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1245110400.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8.960724500330858,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2698,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,0,0,0,0,0,0,0,0,0,0,6.142037405587356,0,0,0,0,0,0,0,0,0,1,0
35,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1513900800.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1361491200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.988413181999592,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,0,0,1,0,0,1,0,0,0,0,5.3471075307174685,0,0,0,1,0,0,0,0,0,1,0
36,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,1478131200.0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1370217600.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.987321812850125,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1249,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2013,0,0,0,0,0,0,0,0,0,0,5.402677381872279,0,0,0,0,0,0,0,0,0,1,0
37,1,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1498694400.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2017,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4800,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1348617600.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,10.56792656895933,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1737,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,7.317876198626496,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1513209600.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6800,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1486425600.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.8971538676367405,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,1,0,0,0,0,310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2017,0,0,0,0,0,0,0,0,0,0,5.0106352940962555,0,0,0,1,0,0,1,0,0,1,0
39,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1530489600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1999,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1300752000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8.392083380373393,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2659,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,0,0,0,0,6.787844982309579,0,0,0,0,0,0,0,0,0,1,0
40,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1529539200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8800,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1300752000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.803556713911078,0,0,0,0,0,0,1,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,0,0,0,0,7.111512116496157,0,0,0,0,1,0,0,1,0,1,0
41,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1521763200.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6800,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1467849600.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.77826440778205,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,624,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,0,0,0,0,0,0,0,0,0,0,6.706862336602747,1,0,0,1,0,0,0,0,1,1,0
42,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,1562544000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1521763200.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.868636894184167,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,472,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,1,1,0,0,0,0,0,6.317164686747284,0,0,0,0,0,0,0,0,0,1,0
43,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1525996800.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1518480000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.480044561926653,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2018,0,0,0,0,0,0,0,0,0,0,5.0238805208462765,0,0,0,0,0,0,0,0,0,1,0
44,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1508889600.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1480291200.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7.004881989712859,0,0,0,0,0,0,0,1,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,331,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2016,0,0,0,0,0,1,0,0,0,0,4.653960350157523,0,0,0,1,0,0,0,0,0,1,0
45,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1508889600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7000,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1487203200.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.03479304183395,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,251,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,5.298317366548036,0,0,0,0,0,0,0,0,0,1,0
46,0,0,0,1,0,1,0,10,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,1522972800.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6800,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413763200.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.531293315795018,1,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2014,0,1,0,0,0,0,0,0,0,0,5.68697535633982,0,0,0,0,0,0,0,0,0,1,0
47,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1525996800.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4800,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1505779200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.04305126783455,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,1,0,0,0,0,2.4849066497880004,1,0,0,0,0,0,0,0,0,1,0
48,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1564185600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7900,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1400457600.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.882161765821376,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1895,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2014,0,0,0,0,0,0,0,0,1,0,7.791935956938058,1,0,0,0,0,0,0,0,0,1,0
49,1,0,0,0,0,0,0,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,1,1476662400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2016,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1510099200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.814656338829513,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,-387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2017,0,0,0,0,0,0,0,1,0,0,7.869783902530146,0,0,0,0,0,0,0,0,0,0,0
